ROWNUM;NAME;ADDRESS;X;Y;NAPRAVLENIE;USL_SPEED;GLOBALID;
199;"Комплекс фото-видеофиксации нарушений ПДД";"Липецкая ул, д.14, корп.1";"37.67157";"55.597515";"из центра";"Выделенная полоса + скорость";"87815066";
200;"Комплекс фото-видеофиксации нарушений ПДД";"Липецкая улица, д.36/20";"37.679078";"55.58451";"из центра";"Выделенная полоса + скорость";"87815067";
201;"Комплекс фото-видеофиксации нарушений ПДД";"улица Лобачевского, д.22";"37.502513";"55.667651";"к Ленинскому проспекту";"Выделенная полоса + скорость";"87815068";
202;"Комплекс фото-видеофиксации нарушений ПДД";"улица Лобачевского, д.27";"37.481116";"55.681155";"к Вернадскому проспекту";"Выделенная полоса + скорость";"87815069";
203;"Комплекс фото-видеофиксации нарушений ПДД";"Ломоносовский проспект, д.3, корп.1";"37.548889";"55.685817";"от Ленинского проспекта";"Контроль база + скорость";"87815070";
204;"Комплекс фото-видеофиксации нарушений ПДД";"Люблинская улица, д.175";"37.746133";"55.644746";"в центр";"Выделенная полоса";"87815071";
205;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Маршала Жукова,Живописный мост,ДИТ,320м до улицы Крылатская д.17, корп.1";"37.431095";"55.772792";"из центра";"Контроль База + скорость";"87815072";
206;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Маршала Жукова,Живописный мост,ДИТ,320м после улицы Крылатская д.17, корп.1";"37.430352";"55.772622";"в центр";"Контроль База + скорость";"87815073";
207;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Мира, д.125";"37.65003";"55.828653";"в центр";"Контроль База + скорость";"87815074";
208;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Мира, д.184, корп.1";"37.65003";"55.828653";"из центра";"Контроль База + скорость";"87815075";
209;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Мира, д.72";"37.634889";"55.788755";"из центра";"Выделенная полоса";"87815076";
210;"Комплекс фото-видеофиксации нарушений ПДД";"проспект Мира, д.73";"37.634612";"55.788726";"в центр";"Выделенная полоса";"87815077";
211;"Комплекс фото-видеофиксации нарушений ПДД";"Мичуринский проспект, д.80";"37.45791";"55.673489";"из центра";"Выделенная полоса";"87815078";
212;"Комплекс фото-видеофиксации нарушений ПДД";"Мичуринский проспект, напротив д.8 корп.2 по улице Раменки";"37.490417";"55.692891";"в центр";"Выделенная полоса";"87815079";
213;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 106 км, МГО № 292";"37.839703";"55.802769";"внутреннее кольцо МКАД";"Контроль база";"87815080";
214;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 43 км, МГО № 214";"37.465816";"55.633351";"внешнее кольцо МКАД";"Контроль база";"87815081";
215;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 53 км, МГО № 226";"37.393646";"55.706186";"внутреннее кольцо МКАД";"Контроль база";"87815082";
216;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 66 км, МГО № 121";"37.388874";"55.811491";"внешнее кольцо МКАД";"Контроль база";"87815083";
217;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 66 км, МГО № 130";"37.390656";"55.815";"внутреннее кольцо МКАД";"Контроль база";"87815084";
218;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 92 км, МГО № 268";"37.693858";"55.894751";"внешнее кольцо МКАД";"Контроль база";"87815085";
219;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 92 км, МГО № 274";"37.697893";"55.893973";"внутреннее кольцо МКАД";"Контроль база";"87815086";
220;"Комплекс фото-видеофиксации нарушений ПДД";"МКАД, 106 км, МГО № 285";"37.839896";"55.805794";"внешнее кольцо МКАД";"Контроль база";"87815087";
